Palabras repetidas y sus conteos:
Palabra: 'la' - Repeticiones: 53
Palabra: 'una' - Repeticiones: 35
Palabra: 'maã±ana' - Repeticiones: 4
Palabra: 'tras' - Repeticiones: 4
Palabra: 'un' - Repeticiones: 40
Palabra: 'sueã±o' - Repeticiones: 4
Palabra: 'intranquilo' - Repeticiones: 4
Palabra: 'gregorio' - Repeticiones: 12
Palabra: 'samsa' - Repeticiones: 8
Palabra: 'se' - Repeticiones: 24
Palabra: 'despertã³' - Repeticiones: 4
Palabra: 'convertido' - Repeticiones: 4
Palabra: 'en' - Repeticiones: 36
Palabra: 'monstruoso' - Repeticiones: 4
Palabra: 'insecto' - Repeticiones: 4
Palabra: 'estaba' - Repeticiones: 20
Palabra: 'echado' - Repeticiones: 4
Palabra: 'de' - Repeticiones: 88
Palabra: 'espaldas' - Repeticiones: 8
Palabra: 'sobre' - Repeticiones: 24
Palabra: 'duro' - Repeticiones: 4
Palabra: 'caparazã³n' - Repeticiones: 4
Palabra: 'y' - Repeticiones: 40
Palabra: 'al' - Repeticiones: 4
Palabra: 'alzar' - Repeticiones: 8
Palabra: 'cabeza' - Repeticiones: 8
Palabra: 'vio' - Repeticiones: 8
Palabra: 'su' - Repeticiones: 16
Palabra: 'vientre' - Repeticiones: 8
Palabra: 'convexo' - Repeticiones: 4
Palabra: 'oscuro' - Repeticiones: 4
Palabra: 'surcado' - Repeticiones: 4
Palabra: 'por' - Repeticiones: 12
Palabra: 'curvadas' - Repeticiones: 4
Palabra: 'callosidades' - Repeticiones: 4
Palabra: 'el' - Repeticiones: 39
Palabra: 'que' - Repeticiones: 63
Palabra: 'casi' - Repeticiones: 4
Palabra: 'no' - Repeticiones: 32
Palabra: 'aguantaba' - Repeticiones: 4
Palabra: 'colcha' - Repeticiones: 4
Palabra: 'a' - Repeticiones: 20
Palabra: 'punto' - Repeticiones: 4
Palabra: 'escurrirse' - Repeticiones: 4
Palabra: 'hasta' - Repeticiones: 12
Palabra: 'suelo' - Repeticiones: 4
Palabra: 'numerosas' - Repeticiones: 8
Palabra: 'patas' - Repeticiones: 8
Palabra: 'penosamente' - Repeticiones: 4
Palabra: 'delgadas' - Repeticiones: 4
Palabra: 'comparaciã³n' - Repeticiones: 4
Palabra: 'con' - Repeticiones: 15
Palabra: 'grosor' - Repeticiones: 4
Palabra: 'normal' - Repeticiones: 8
Palabra: 'sus' - Repeticiones: 4
Palabra: 'piernas' - Repeticiones: 4
Palabra: 'agitaban' - Repeticiones: 4
Palabra: 'sin' - Repeticiones: 4
Palabra: 'concierto' - Repeticiones: 4
Palabra: '-' - Repeticiones: 12
Palabra: 'â¿quã©' - Repeticiones: 4
Palabra: 'me' - Repeticiones: 8
Palabra: 'ha' - Repeticiones: 4
Palabra: 'ocurrido' - Repeticiones: 4
Palabra: 'soã±ando' - Repeticiones: 4
Palabra: 'habitaciã³n' - Repeticiones: 8
Palabra: 'aunque' - Repeticiones: 4
Palabra: 'muy' - Repeticiones: 8
Palabra: 'pequeã±a' - Repeticiones: 4
Palabra: 'tenã­a' - Repeticiones: 8
Palabra: 'aspecto' - Repeticiones: 4
Palabra: 'habitual' - Repeticiones: 4
Palabra: 'mesa' - Repeticiones: 4
Palabra: 'habã­a' - Repeticiones: 4
Palabra: 'desparramado' - Repeticiones: 4
Palabra: 'muestrario' - Repeticiones: 4
Palabra: 'paã±os' - Repeticiones: 4
Palabra: 'era' - Repeticiones: 8
Palabra: 'viajante' - Repeticiones: 4
Palabra: 'comercio-' - Repeticiones: 4
Palabra: 'pared' - Repeticiones: 4
Palabra: 'colgaba' - Repeticiones: 4
Palabra: 'estampa' - Repeticiones: 8
Palabra: 'recientemente' - Repeticiones: 4
Palabra: 'recortada' - Repeticiones: 4
Palabra: 'revista' - Repeticiones: 4
Palabra: 'ilustrada' - Repeticiones: 4
Palabra: 'puesta' - Repeticiones: 4
Palabra: 'marco' - Repeticiones: 4
Palabra: 'dorado' - Repeticiones: 4
Palabra: 'mostraba' - Repeticiones: 4
Palabra: 'mujer' - Repeticiones: 4
Palabra: 'tocada' - Repeticiones: 4
Palabra: 'gorro' - Repeticiones: 4
Palabra: 'pieles' - Repeticiones: 8
Palabra: 'envuelta' - Repeticiones: 4
Palabra: 'estola' - Repeticiones: 4
Palabra: 'tambiã©n' - Repeticiones: 4
Palabra: 'erguida' - Repeticiones: 4
Palabra: 'esgrimã­a' - Repeticiones: 4
Palabra: 'amplio' - Repeticiones: 4
Palabra: 'manguito' - Repeticiones: 4
Palabra: 'asimismo' - Repeticiones: 4
Palabra: 'piel' - Repeticiones: 4
Palabra: 'ocultaba' - Repeticiones: 4
Palabra: 'todo' - Repeticiones: 8
Palabra: 'antebrazo' - Repeticiones: 4
Palabra: 'mirã³' - Repeticiones: 4
Palabra: 'hacia' - Repeticiones: 4
Palabra: 'ventana;' - Repeticiones: 4
Palabra: 'nublado' - Repeticiones: 4
Palabra: 'cinc' - Repeticiones: 4
Palabra: 'del' - Repeticiones: 4
Palabra: 'alfã©izar' - Repeticiones: 4
Palabra: 'repiqueteaban' - Repeticiones: 4
Palabra: 'las' - Repeticiones: 16
Palabra: 'gotas' - Repeticiones: 4
Palabra: 'lluvia' - Repeticiones: 4
Palabra: 'lo' - Repeticiones: 4
Palabra: 'le' - Repeticiones: 15
Palabra: 'hizo' - Repeticiones: 4
Palabra: 'sentir' - Repeticiones: 4
Palabra: 'gran' - Repeticiones: 4
Palabra: 'melancolã­a' - Repeticiones: 4
Palabra: 'â«bueno' - Repeticiones: 4
Palabra: '-pensã³-;' - Repeticiones: 4
Palabra: 'â¿y' - Repeticiones: 4
Palabra: 'si' - Repeticiones: 4
Palabra: 'siguiese' - Repeticiones: 4
